ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,-7,0,200,10,80,20,800,400,20,12,30
770,200,-12,-7,0,200,10,80,20,800,400,20,12,30
770,200,-12,-7,-1,200,10,80,20,800,400,20,12,30
758,193,-12,-7,0,180,10,80,20,800,400,20,12,30
758,193,-12,-7,1,180,10,80,20,800,400,20,12,30
746,186,-12,-7,0,200,10,80,20,800,400,20,12,30
746,186,-12,-7,-1,200,10,80,20,800,400,20,12,30
734,179,-12,-7,0,180,10,80,20,800,400,20,12,30
734,179,-12,-7,-1,180,10,80,20,800,400,20,12,30
722,172,-12,-7,0,160,10,80,20,800,400,20,12,30
722,172,-12,-7,-1,160,10,80,20,800,400,20,12,30
710,165,-12,-7,0,140,10,80,20,800,400,20,12,30
710,165,-12,-7,1,140,10,80,20,800,400,20,12,30
698,158,-12,-7,0,160,10,80,20,800,400,20,12,30
698,158,-12,-7,1,160,10,80,20,800,400,20,12,30
686,151,-12,-7,0,180,10,80,20,800,400,20,12,30
686,151,-12,-7,-1,180,10,80,20,800,400,20,12,30
674,144,-12,-7,0,160,10,80,20,800,400,20,12,30
674,144,-12,-7,-1,160,10,80,20,800,400,20,12,30
662,137,-12,-7,0,140,10,80,20,800,400,20,12,30
662,137,-12,-7,-1,140,10,80,20,800,400,20,12,30
650,130,-12,-7,0,120,10,80,20,800,400,20,12,30
650,130,-12,-7,1,120,10,80,20,800,400,20,12,30
638,123,-12,-7,0,140,10,80,20,800,400,20,12,30
638,123,-12,-7,-1,140,10,80,20,800,400,20,12,30
626,116,-12,-7,0,120,10,80,20,800,400,20,12,30
626,116,-12,-7,1,120,10,80,20,800,400,20,12,30
614,109,-12,-7,0,140,10,80,20,800,400,20,12,30
614,109,-12,-7,-1,140,10,80,20,800,400,20,12,30
602,102,-12,-7,0,120,10,80,20,800,400,20,12,30
602,102,-12,-7,1,120,10,80,20,800,400,20,12,30
590,95,-12,-7,0,140,10,80,20,800,400,20,12,30
590,95,-12,-7,-1,140,10,80,20,800,400,20,12,30
578,88,-12,-7,0,120,10,80,20,800,400,20,12,30
578,88,-12,-7,-1,120,10,80,20,800,400,20,12,30
566,81,-12,-7,0,100,10,80,20,800,400,20,12,30
566,81,-12,-7,1,100,10,80,20,800,400,20,12,30
554,74,-12,-7,0,120,10,80,20,800,400,20,12,30
554,74,-12,-7,-1,120,10,80,20,800,400,20,12,30
542,67,-12,-7,0,100,10,80,20,800,400,20,12,30
542,67,-12,-7,1,100,10,80,20,800,400,20,12,30
530,60,-12,-7,0,120,10,80,20,800,400,20,12,30
530,60,-12,-7,-1,120,10,80,20,800,400,20,12,30
518,53,-12,-7,0,100,10,80,20,800,400,20,12,30
518,53,-12,-7,-1,100,10,80,20,800,400,20,12,30
506,46,-12,-7,0,80,10,80,20,800,400,20,12,30
506,46,-12,-7,-1,80,10,80,20,800,400,20,12,30
494,39,-12,-7,0,60,10,80,20,800,400,20,12,30
494,39,-12,-7,1,60,10,80,20,800,400,20,12,30
482,32,-12,-7,0,80,10,80,20,800,400,20,12,30
482,32,-12,-7,-1,80,10,80,20,800,400,20,12,30
470,39,-12,7,0,60,10,80,20,800,400,20,12,30
470,39,-12,7,1,60,10,80,20,800,400,20,12,30
458,46,-12,7,0,80,10,80,20,800,400,20,12,30
458,46,-12,7,-1,80,10,80,20,800,400,20,12,30
446,53,-12,7,0,60,10,80,20,800,400,20,12,30
446,53,-12,7,1,60,10,80,20,800,400,20,12,30
434,60,-12,7,0,80,10,80,20,800,400,20,12,30
434,60,-12,7,-1,80,10,80,20,800,400,20,12,30
422,67,-12,7,0,60,10,80,20,800,400,20,12,30
422,67,-12,7,1,60,10,80,20,800,400,20,12,30
410,74,-12,7,0,80,10,80,20,800,400,20,12,30
410,74,-12,7,-1,80,10,80,20,800,400,20,12,30
398,81,-12,7,0,60,10,80,20,800,400,20,12,30
398,81,-12,7,1,60,10,80,20,800,400,20,12,30
386,88,-12,7,0,80,10,80,20,800,400,20,12,30
386,88,-12,7,-1,80,10,80,20,800,400,20,12,30
374,95,-12,7,0,60,10,80,20,800,400,20,12,30
374,95,-12,7,1,60,10,80,20,800,400,20,12,30
362,102,-12,7,0,80,10,80,20,800,400,20,12,30
362,102,-12,7,1,80,10,80,20,800,400,20,12,30
350,109,-12,7,0,100,10,80,20,800,400,20,12,30
350,109,-12,7,1,100,10,80,20,800,400,20,12,30
338,116,-12,7,0,120,10,80,20,800,400,20,12,30
338,116,-12,7,1,120,10,80,20,800,400,20,12,30
326,123,-12,7,0,140,10,80,20,800,400,20,12,30
326,123,-12,7,1,140,10,80,20,800,400,20,12,30
314,130,-12,7,0,160,10,80,20,800,400,20,12,30
314,130,-12,7,1,160,10,80,20,800,400,20,12,30
302,137,-12,7,0,180,10,80,20,800,400,20,12,30
302,137,-12,7,1,180,10,80,20,800,400,20,12,30
290,144,-12,7,0,200,10,80,20,800,400,20,12,30
290,144,-12,7,1,200,10,80,20,800,400,20,12,30
278,151,-12,7,0,220,10,80,20,800,400,20,12,30
278,151,-12,7,1,220,10,80,20,800,400,20,12,30
266,158,-12,7,0,240,10,80,20,800,400,20,12,30
266,158,-12,7,-1,240,10,80,20,800,400,20,12,30
254,165,-12,7,0,220,10,80,20,800,400,20,12,30
254,165,-12,7,-1,220,10,80,20,800,400,20,12,30
242,172,-12,7,0,200,10,80,20,800,400,20,12,30
242,172,-12,7,-1,200,10,80,20,800,400,20,12,30
230,179,-12,7,0,180,10,80,20,800,400,20,12,30
230,179,-12,7,-1,180,10,80,20,800,400,20,12,30
218,186,-12,7,0,160,10,80,20,800,400,20,12,30
218,186,-12,7,1,160,10,80,20,800,400,20,12,30
206,193,-12,7,0,180,10,80,20,800,400,20,12,30
206,193,-12,7,-1,180,10,80,20,800,400,20,12,30
194,200,-12,7,0,160,10,80,20,800,400,20,12,30
194,200,-12,7,1,160,10,80,20,800,400,20,12,30
182,207,-12,7,0,180,10,80,20,800,400,20,12,30
182,207,-12,7,-1,180,10,80,20,800,400,20,12,30
170,214,-12,7,0,160,10,80,20,800,400,20,12,30
170,214,-12,7,1,160,10,80,20,800,400,20,12,30
158,221,-12,7,0,180,10,80,20,800,400,20,12,30
158,221,-12,7,1,180,10,80,20,800,400,20,12,30
146,228,-12,7,0,200,10,80,20,800,400,20,12,30
146,228,-12,7,1,200,10,80,20,800,400,20,12,30
134,235,-12,7,0,220,10,80,20,800,400,20,12,30
134,235,-12,7,1,220,10,80,20,800,400,20,12,30
122,242,-12,7,0,240,10,80,20,800,400,20,12,30
122,242,-12,7,-1,240,10,80,20,800,400,20,12,30
110,249,-12,7,0,220,10,80,20,800,400,20,12,30
110,249,-12,7,-1,220,10,80,20,800,400,20,12,30
98,256,-12,7,0,200,10,80,20,800,400,20,12,30
98,256,-12,7,1,200,10,80,20,800,400,20,12,30
86,263,-12,7,0,220,10,80,20,800,400,20,12,30
86,263,-12,7,-1,220,10,80,20,800,400,20,12,30
74,270,-12,7,0,200,10,80,20,800,400,20,12,30
74,270,-12,7,1,200,10,80,20,800,400,20,12,30
62,277,-12,7,0,220,10,80,20,800,400,20,12,30
62,277,-12,7,1,220,10,80,20,800,400,20,12,30
50,284,-12,7,0,240,10,80,20,800,400,20,12,30
50,284,-12,7,-1,240,10,80,20,800,400,20,12,30
38,291,-12,7,0,220,10,80,20,800,400,20,12,30
38,291,-12,7,-1,220,10,80,20,800,400,20,12,30
50,298,12,7,0,200,10,80,20,800,400,20,12,30
50,298,12,7,1,200,10,80,20,800,400,20,12,30
62,305,12,7,0,220,10,80,20,800,400,20,12,30
62,305,12,7,-1,220,10,80,20,800,400,20,12,30
74,312,12,7,0,200,10,80,20,800,400,20,12,30
74,312,12,7,1,200,10,80,20,800,400,20,12,30
86,319,12,7,0,220,10,80,20,800,400,20,12,30
86,319,12,7,-1,220,10,80,20,800,400,20,12,30
98,326,12,7,0,200,10,80,20,800,400,20,12,30
98,326,12,7,-1,200,10,80,20,800,400,20,12,30
110,333,12,7,0,180,10,80,20,800,400,20,12,30
110,333,12,7,1,180,10,80,20,800,400,20,12,30
122,340,12,7,0,200,10,80,20,800,400,20,12,30
122,340,12,7,1,200,10,80,20,800,400,20,12,30
134,347,12,7,0,220,10,80,20,800,400,20,12,30
134,347,12,7,1,220,10,80,20,800,400,20,12,30
146,354,12,7,0,240,10,80,20,800,400,20,12,30
146,354,12,7,1,240,10,80,20,800,400,20,12,30
158,361,12,7,0,260,10,80,20,800,400,20,12,30
158,361,12,7,-1,260,10,80,20,800,400,20,12,30
170,368,12,7,0,240,10,80,20,800,400,20,12,30
170,368,12,7,1,240,10,80,20,800,400,20,12,30
182,361,12,-7,0,260,10,80,20,800,400,20,12,30
182,361,12,-7,-1,260,10,80,20,800,400,20,12,30
194,354,12,-7,0,240,10,80,20,800,400,20,12,30
194,354,12,-7,1,240,10,80,20,800,400,20,12,30
206,347,12,-7,0,260,10,80,20,800,400,20,12,30
206,347,12,-7,-1,260,10,80,20,800,400,20,12,30
